pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_NEURONAL_SYSTEM	1.6802758372695444e-8	3.5134567757306175e-5	0.7337619883564803	-0.5675022956702324	-1.9870306371469124	267	
WP_ADHD_AND_AUTISM_ASD_PATHWAYS	6.122600977312486e-8	6.401179321780205e-5	0.7049757151672383	-0.5643061392626131	-1.9496698723133317	241	
PID_P53_DOWNSTREAM_PATHWAY	1.1918054345261531e-6	8.306883878647287e-4	0.6435518361507222	0.6548133383357341	2.2989010259670137	108	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	5.697677840777144e-6	0.002978461091266252	0.610526878385931	0.5231466432731592	1.9733613116164341	220	
PID_AVB3_INTEGRIN_PATHWAY	3.9128410695357384e-5	0.0129723292633244	0.557332238758646	0.6618305862100915	2.118718469069492	62	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	3.119332144360924e-5	0.0129723292633244	0.557332238758646	0.7116210844293812	2.173294069727672	48	
REACTOME_MET_PROMOTES_CELL_MOTILITY	5.583498965562869e-5	0.0129723292633244	0.557332238758646	0.7378767329970053	2.13721809292479	35	
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES	5.583315254054824e-5	0.0129723292633244	0.557332238758646	0.7221520766373137	2.097748079210844	37	
WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION	5.5254418296172524e-5	0.0129723292633244	0.557332238758646	-0.6546515809124206	-1.9887152961761536	74	
PID_INTEGRIN1_PATHWAY	6.410884512537915e-5	0.01340515951571678	0.5384340963099162	0.6749358418501429	2.08222470015723	52	
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	7.66742431271445e-5	0.014165814671203331	0.5384340963099162	0.7939090039893673	2.1784223102363627	26	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	8.129592350762313e-5	0.014165814671203331	0.5384340963099162	0.6274391414791777	1.9945807244310656	60	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	1.0102980540473246e-4	0.01625025562317658	0.5384340963099162	0.5983477822142252	2.052193746008642	92	
REACTOME_ASPIRIN_ADME	1.4780803690280482e-4	0.01818038853904499	0.5188480777437918	0.8474443531573672	1.997245592907841	15	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	1.4188105505882618e-4	0.01818038853904499	0.5188480777437918	0.7438347974809963	2.126190667870727	32	
REACTOME_COLLAGEN_FORMATION	1.3086949150425002e-4	0.01818038853904499	0.5188480777437918	0.6111400446859921	1.9943748340401686	70	
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1.4504293773573808e-4	0.01818038853904499	0.5188480777437918	-0.8162509652456068	-1.9200161859840816	18	
WP_SYNAPTIC_VESICLE_PATHWAY	1.8791352532930523e-4	0.021829287859087627	0.5188480777437918	-0.7073584823269284	-1.9346506862208164	39	
REACTOME_L1CAM_INTERACTIONS	2.283488888244785e-4	0.023873876326599226	0.5188480777437918	-0.5846838676856753	-1.8166873599814897	90	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	2.254728381043275e-4	0.023873876326599226	0.5188480777437918	0.5453464587748411	1.9408622525270525	126	
REACTOME_COLLAGEN_DEGRADATION	2.4853698384077994e-4	0.024747182533860518	0.49849310876659025	0.6824504170466943	2.0518441373398417	41	
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	2.78785436183237e-4	0.024750078106692355	0.49849310876659025	0.4782630963944217	1.790963342714065	206	
REACTOME_SIGNALING_BY_GPCR	2.630724259838355e-4	0.024750078106692355	0.49849310876659025	-0.4589584126717129	-1.6241077248977442	321	
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	2.8407550194194955e-4	0.024750078106692355	0.49849310876659025	-0.5245475999299266	-1.763511417893408	171	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	3.3125065673745576e-4	0.027001318894668305	0.49849310876659025	0.6314169672059894	1.9340395721879242	51	
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	3.357409331713897e-4	0.027001318894668305	0.49849310876659025	-0.7347445277894566	-1.9660544407964895	33	
KEGG_OXIDATIVE_PHOSPHORYLATION	3.7714605786165744e-4	0.028164728821025917	0.49849310876659025	0.6032540356280411	2.066140624722104	93	
WP_P53_TRANSCRIPTIONAL_GENE_NETWORK	3.6594874949405325e-4	0.028164728821025917	0.49849310876659025	0.6149674189879668	2.0046649389816036	68	
WP_VITAMIN_B12_METABOLISM	4.0103174766217375e-4	0.028915771874538112	0.49849310876659025	0.7068088486495071	2.043114383748444	36	
WP_FOLATE_METABOLISM	4.591047803813645e-4	0.029999627993044786	0.49849310876659025	0.6350994365069212	1.9238678318294584	42	
WP_MIRNA_REGULATION_OF_P53_PATHWAY_IN_PROSTATE_CANCER	4.588528068328155e-4	0.029999627993044786	0.49849310876659025	0.7583273206596398	1.9314589891523362	20	
WP_PANCREATIC_CANCER_SUBTYPES	4.3372158338912556e-4	0.029999627993044786	0.49849310876659025	0.7559669605785793	1.9736563672363048	22	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	4.881770774775706e-4	0.03002289026487059	0.49849310876659025	0.6197954817418447	1.9121127981454307	52	
WP_DOPAMINERGIC_NEUROGENESIS	4.7745910406651974e-4	0.03002289026487059	0.49849310876659025	-0.8248161903434413	-1.8950657945600018	15	
REACTOME_POTASSIUM_CHANNELS	6.125814837217598e-4	0.03578606006562178	0.47727081536286214	-0.6302712358384586	-1.8554202008803642	62	
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	6.161158117467164e-4	0.03578606006562178	0.47727081536286214	0.4954123916165546	1.7648331238593404	116	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	6.40379652254105e-4	0.03619010413144145	0.47727081536286214	0.5435606483369788	1.854827510653251	86	
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	6.775217711381648e-4	0.037281526932892176	0.47727081536286214	0.5871270192786833	1.9826798881359091	82	
KEGG_LYSOSOME	8.349189561614518e-4	0.03878967913108318	0.47727081536286214	0.5212646136809167	1.7999079599615493	99	
PID_TAP63_PATHWAY	8.471348546420085e-4	0.03878967913108318	0.47727081536286214	0.6377115816148149	1.9322240703517772	43	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	8.006193414372664e-4	0.03878967913108318	0.47727081536286214	0.5373663084545877	1.805600978742555	81	
REACTOME_COMPLEX_IV_ASSEMBLY	7.870595991413097e-4	0.03878967913108318	0.47727081536286214	0.6668891563840833	1.9000918113057637	31	
REACTOME_PEPTIDE_HORMONE_METABOLISM	8.533358393255984e-4	0.03878967913108318	0.47727081536286214	-0.629606464808531	-1.8025085653622424	53	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	8.10170057575392e-4	0.03878967913108318	0.47727081536286214	-0.5995732214044751	-1.7783804270025982	65	
